Vaccine,Geography.Type,Geography,Survey.Year.Influenza.Season,Dimension.Type,Dimension,Estimate....,X95..CI....,Sample.Size,State,Year,Insured,Uninsured,UrbanicityIndex
Influenza,States,New Mexico,2012,Race and Ethnicity,"White, Non-Hispanic",46.7,40.0 to 53.5,302,NM,2012,463300,152600,3.937810881711638
Influenza,States,New Mexico,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",63.7,54.2 to 72.4,129,NM,2012,463300,152600,3.937810881711638
Influenza,States,New Mexico,2020,Race and Ethnicity,"White, Non-Hispanic",69.7,64.1 to 74.9,338,NM,2020,NA,NA,3.937810881711638
Influenza,States,New Mexico,2020,Age,>=18 Years,67.6,64.5 to 70.6,1011,NM,2020,NA,NA,3.937810881711638
Influenza,States,New Mexico,2012,Age,18-24 Years,50.6,44.8 to 56.3,352,NM,2012,463300,152600,3.937810881711638
Influenza,States,New Mexico,2012,Age,>=18 Years,49.2,45.6 to 52.8,915,NM,2012,463300,152600,3.937810881711638
Influenza,States,Alaska,2020,Age,>=35 Years,64.7,56.0 to 72.8,184,AK,2020,NA,NA,4.0147655084792575
Influenza,States,Alaska,2012,Age,25-34 Years,48.3,43.0 to 53.6,474,AK,2012,NA,53400,4.0147655084792575
Influenza,States,Alaska,2012,Age,>=35 Years,54.9,43.6 to 65.8,111,AK,2012,NA,53400,4.0147655084792575
Influenza,States,Alaska,2020,Age,25-34 Years,62.7,57.9 to 67.3,564,AK,2020,NA,NA,4.0147655084792575
Influenza,States,Alaska,2020,Age,18-24 Years,66.8,59.2 to 73.8,232,AK,2020,NA,NA,4.0147655084792575
Influenza,States,Alaska,2020,Age,>=18 Years,64.0,60.4 to 67.5,980,AK,2020,NA,NA,4.0147655084792575
Influenza,States,Alaska,2020,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,31,AK,2020,NA,NA,4.0147655084792575
Influenza,States,Alaska,2012,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,AK,2012,NA,53400,4.0147655084792575
Influenza,States,Alaska,2012,Race and Ethnicity,Hispanic,NR*,NR*,45,AK,2012,NA,53400,4.0147655084792575
Influenza,States,Alaska,2020,Race and Ethnicity,"White, Non-Hispanic",59.2,53.5 to 64.7,404,AK,2020,NA,NA,4.0147655084792575
Influenza,States,Alaska,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",54.7,48.7 to 60.6,341,AK,2012,NA,53400,4.0147655084792575
Influenza,States,Alaska,2012,Race and Ethnicity,"White, Non-Hispanic",46.8,41.2 to 52.4,403,AK,2012,NA,53400,4.0147655084792575
Influenza,States,Alaska,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",68.1,63.4 to 72.6,486,AK,2020,NA,NA,4.0147655084792575
Influenza,States,Alaska,2020,Race and Ethnicity,Hispanic,71.2,55.8 to 83.7,58,AK,2020,NA,NA,4.0147655084792575
Influenza,States,Alaska,2012,Age,>=18 Years,49.2,45.3 to 53.1,852,AK,2012,NA,53400,4.0147655084792575
Influenza,States,Alaska,2012,Age,18-24 Years,48.9,41.8 to 56.1,267,AK,2012,NA,53400,4.0147655084792575
Influenza,States,Virginia,2020,Race and Ethnicity,"White, Non-Hispanic",67.0,59.8 to 73.7,517,VA,2020,NA,NA,2.6164099323104804
Influenza,States,Virginia,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,68,VA,2020,NA,NA,2.6164099323104804
Influenza,States,Virginia,2020,Race and Ethnicity,Hispanic,71.0,59.1 to 81.1,136,VA,2020,NA,NA,2.6164099323104804
Influenza,States,Virginia,2020,Age,25-34 Years,68.4,61.5 to 74.7,548,VA,2020,NA,NA,2.6164099323104804
Influenza,States,Virginia,2020,Age,18-24 Years,51.5,38.7 to 64.2,131,VA,2020,NA,NA,2.6164099323104804
Influenza,States,Virginia,2020,Age,>=35 Years,66.1,56.0 to 75.2,245,VA,2020,NA,NA,2.6164099323104804
Influenza,States,Virginia,2020,Age,>=18 Years,64.4,59.3 to 69.3,924,VA,2020,NA,NA,2.6164099323104804
Influenza,States,Virginia,2022,Age,>=18 Years,59.4,54.0 to 64.7,950,VA,2022,2344800,197800,2.6164099323104804
Influenza,States,Virginia,2022,Age,>=35 Years,66.4,54.4 to 77.0,222,VA,2022,2344800,197800,2.6164099323104804
Tdap,States,Virginia,2022,Age,>=18 Years,75.2,70.0 to 79.9,899,VA,2022,2344800,197800,2.6164099323104804
Tdap,States,Virginia,2022,Age,>=35 Years,81.7,70.4 to 90.0,212,VA,2022,2344800,197800,2.6164099323104804
Influenza,States,Virginia,2022,Age,18-24 Years,43.1,29.2 to 57.8,134,VA,2022,2344800,197800,2.6164099323104804
Influenza,States,Virginia,2022,Age,25-34 Years,61.5,54.7 to 68.0,594,VA,2022,2344800,197800,2.6164099323104804
Tdap,States,Virginia,2022,Age,18-24 Years,56.5,41.1 to 71.0,120,VA,2022,2344800,197800,2.6164099323104804
Tdap,States,Virginia,2022,Age,25-34 Years,77.9,71.5 to 83.5,567,VA,2022,2344800,197800,2.6164099323104804
Influenza,States,Virginia,2022,Race and Ethnicity,"White, Non-Hispanic",62.0,54.3 to 69.3,530,VA,2022,2344800,197800,2.6164099323104804
Influenza,States,Virginia,2022,Race and Ethnicity,"Black, Non-Hispanic",36.2,24.1 to 49.8,170,VA,2022,2344800,197800,2.6164099323104804
Influenza,States,Virginia,2022,Race and Ethnicity,Hispanic,68.1,55.4 to 79.1,174,VA,2022,2344800,197800,2.6164099323104804
Influenza,States,Virginia,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",67.2,51.0 to 80.9,74,VA,2022,2344800,197800,2.6164099323104804
Tdap,States,Virginia,2022,Race and Ethnicity,"White, Non-Hispanic",79.4,72.2 to 85.4,515,VA,2022,2344800,197800,2.6164099323104804
Tdap,States,Virginia,2022,Race and Ethnicity,"Black, Non-Hispanic",61.7,47.5 to 74.5,159,VA,2022,2344800,197800,2.6164099323104804
Tdap,States,Virginia,2022,Race and Ethnicity,Hispanic,75.3,62.2 to 85.7,152,VA,2022,2344800,197800,2.6164099323104804
Tdap,States,Virginia,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",76.1,59.0 to 88.7,71,VA,2022,2344800,197800,2.6164099323104804
Influenza,States,Virginia,2020,Race and Ethnicity,"Black, Non-Hispanic",45.9,33.6 to 58.6,203,VA,2020,NA,NA,2.6164099323104804
Influenza,States,West Virginia,2015,Race and Ethnicity,Hispanic,NR*,NR*,NA,WV,2015,510900,34800,4.377952698241732
Influenza,States,West Virginia,2015,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,31,WV,2015,510900,34800,4.377952698241732
Tdap,States,Delaware,2021,Age,18-24 Years,72.8,62.3 to 81.8,115,DE,2021,271800,20500,3.1211355896920256
Influenza,States,West Virginia,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,NA,WV,2015,510900,34800,4.377952698241732
Influenza,States,West Virginia,2021,Age,>=18 Years,65.2,60.2 to 69.9,588,WV,2021,466300,36500,4.377952698241732
Influenza,States,West Virginia,2021,Age,18-24 Years,64.7,56.6 to 72.3,245,WV,2021,466300,36500,4.377952698241732
Influenza,States,West Virginia,2021,Age,25-34 Years,65.5,58.4 to 72.1,280,WV,2021,466300,36500,4.377952698241732
Influenza,States,West Virginia,2021,Age,>=35 Years,65.2,49.1 to 79.1,63,WV,2021,466300,36500,4.377952698241732
Influenza,States,West Virginia,2013,Age,>=18 Years,50.4,46.8 to 54.0,1362,WV,2013,439700,115000,4.377952698241732
Influenza,States,West Virginia,2013,Age,18-24 Years,42.2,36.7 to 47.8,593,WV,2013,439700,115000,4.377952698241732
Influenza,States,West Virginia,2013,Age,25-34 Years,56.3,51.2 to 61.3,650,WV,2013,439700,115000,4.377952698241732
Influenza,States,West Virginia,2013,Age,>=35 Years,57.8,44.9 to 70.0,119,WV,2013,439700,115000,4.377952698241732
Influenza,States,West Virginia,2013,Race and Ethnicity,"White, Non-Hispanic",50.1,46.4 to 53.8,1287,WV,2013,439700,115000,4.377952698241732
Influenza,States,West Virginia,2013,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,51,WV,2013,439700,115000,4.377952698241732
Influenza,States,West Virginia,2013,Race and Ethnicity,Hispanic,NR*,NR*,NA,WV,2013,439700,115000,4.377952698241732
Influenza,States,West Virginia,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,NA,WV,2013,439700,115000,4.377952698241732
Influenza,States,West Virginia,2021,Race and Ethnicity,"White, Non-Hispanic",64.2,59.0 to 69.2,538,WV,2021,466300,36500,4.377952698241732
Influenza,States,West Virginia,2021,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,WV,2021,466300,36500,4.377952698241732
Influenza,States,West Virginia,2021,Race and Ethnicity,Hispanic,NR*,NR*,NA,WV,2021,466300,36500,4.377952698241732
Influenza,States,West Virginia,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,NA,WV,2021,466300,36500,4.377952698241732
Influenza,States,West Virginia,2015,Age,>=18 Years,52.8,48.9 to 56.7,1135,WV,2015,510900,34800,4.377952698241732
Influenza,States,West Virginia,2015,Age,18-24 Years,48.3,42.2 to 54.4,470,WV,2015,510900,34800,4.377952698241732
Influenza,States,West Virginia,2015,Age,25-34 Years,55.9,50.2 to 61.5,537,WV,2015,510900,34800,4.377952698241732
Influenza,States,West Virginia,2015,Age,>=35 Years,56.7,44.7 to 68.1,128,WV,2015,510900,34800,4.377952698241732
Influenza,States,West Virginia,2015,Race and Ethnicity,"White, Non-Hispanic",52.9,48.9 to 56.9,1057,WV,2015,510900,34800,4.377952698241732
Influenza,States,West Virginia,2014,Age,>=18 Years,55.4,51.6 to 59.1,1211,WV,2014,483300,62200,4.377952698241732
Influenza,States,West Virginia,2014,Age,18-24 Years,48.2,42.4 to 54.1,499,WV,2014,483300,62200,4.377952698241732
Influenza,States,West Virginia,2014,Age,25-34 Years,60.0,54.5 to 65.3,575,WV,2014,483300,62200,4.377952698241732
Influenza,States,West Virginia,2014,Age,>=35 Years,62.6,50.3 to 73.8,137,WV,2014,483300,62200,4.377952698241732
Influenza,States,West Virginia,2014,Race and Ethnicity,"White, Non-Hispanic",55.7,51.8 to 59.6,1121,WV,2014,483300,62200,4.377952698241732
Influenza,States,West Virginia,2014,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,40,WV,2014,483300,62200,4.377952698241732
Influenza,States,West Virginia,2014,Race and Ethnicity,Hispanic,NR*,NR*,NA,WV,2014,483300,62200,4.377952698241732
Influenza,States,West Virginia,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,NA,WV,2014,483300,62200,4.377952698241732
Influenza,States,West Virginia,2016,Age,>=18 Years,55.0,50.7 to 59.3,766,WV,2016,505500,29500,4.377952698241732
Influenza,States,West Virginia,2016,Age,18-24 Years,43.9,36.8 to 51.2,280,WV,2016,505500,29500,4.377952698241732
Influenza,States,West Virginia,2016,Age,25-34 Years,63.1,57.2 to 68.7,404,WV,2016,505500,29500,4.377952698241732
Influenza,States,West Virginia,2016,Age,>=35 Years,51.3,36.5 to 65.9,82,WV,2016,505500,29500,4.377952698241732
Influenza,States,West Virginia,2016,Race and Ethnicity,"White, Non-Hispanic",54.6,50.1 to 59.1,700,WV,2016,505500,29500,4.377952698241732
Influenza,States,West Virginia,2016,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,WV,2016,505500,29500,4.377952698241732
Influenza,States,West Virginia,2016,Race and Ethnicity,Hispanic,NR*,NR*,NA,WV,2016,505500,29500,4.377952698241732
Influenza,States,West Virginia,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,NA,WV,2016,505500,29500,4.377952698241732
Influenza,States,West Virginia,2018,Age,>=18 Years,57.5,52.9 to 62.0,663,WV,2018,475600,41600,4.377952698241732
Influenza,States,West Virginia,2018,Age,18-24 Years,50.3,42.2 to 58.4,224,WV,2018,475600,41600,4.377952698241732
Influenza,States,West Virginia,2018,Age,25-34 Years,59.4,53.1 to 65.5,356,WV,2018,475600,41600,4.377952698241732
Influenza,States,West Virginia,2018,Age,>=35 Years,69.7,56.9 to 80.6,83,WV,2018,475600,41600,4.377952698241732
Influenza,States,West Virginia,2018,Race and Ethnicity,"White, Non-Hispanic",57.3,52.5 to 62.0,614,WV,2018,475600,41600,4.377952698241732
Influenza,States,West Virginia,2018,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,WV,2018,475600,41600,4.377952698241732
Influenza,States,West Virginia,2018,Race and Ethnicity,Hispanic,NR*,NR*,NA,WV,2018,475600,41600,4.377952698241732
Influenza,States,West Virginia,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,NA,WV,2018,475600,41600,4.377952698241732
Influenza,States,West Virginia,2017,Age,>=18 Years,52.2,47.6 to 56.7,676,WV,2017,485400,37900,4.377952698241732
Influenza,States,West Virginia,2017,Age,18-24 Years,48.2,40.1 to 56.4,224,WV,2017,485400,37900,4.377952698241732
Influenza,States,West Virginia,2017,Age,25-34 Years,55.8,49.7 to 61.8,377,WV,2017,485400,37900,4.377952698241732
Influenza,States,West Virginia,2017,Age,>=35 Years,44.9,31.3 to 59.1,75,WV,2017,485400,37900,4.377952698241732
Influenza,States,West Virginia,2017,Race and Ethnicity,"White, Non-Hispanic",51.3,46.5 to 56.1,614,WV,2017,485400,37900,4.377952698241732
Influenza,States,West Virginia,2017,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,WV,2017,485400,37900,4.377952698241732
Influenza,States,West Virginia,2017,Race and Ethnicity,Hispanic,NR*,NR*,NA,WV,2017,485400,37900,4.377952698241732
Influenza,States,West Virginia,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,NA,WV,2017,485400,37900,4.377952698241732
Influenza,States,New York,2014,Age,>=18 Years,58.3,54.0 to 62.5,885,NY,2014,5566700,626900,1.936337735071505
Influenza,States,New York,2014,Age,18-24 Years,46.2,36.3 to 56.3,171,NY,2014,5566700,626900,1.936337735071505
Influenza,States,New York,2014,Age,25-34 Years,60.7,55.1 to 66.1,511,NY,2014,5566700,626900,1.936337735071505
Influenza,States,New York,2014,Age,>=35 Years,63.8,54.4 to 72.5,203,NY,2014,5566700,626900,1.936337735071505
Influenza,States,New York,2014,Race and Ethnicity,"White, Non-Hispanic",57.2,52.0 to 62.2,595,NY,2014,5566700,626900,1.936337735071505
Influenza,States,New York,2014,Race and Ethnicity,"Black, Non-Hispanic",60.9,45.8 to 74.6,96,NY,2014,5566700,626900,1.936337735071505
Influenza,States,New York,2014,Race and Ethnicity,Hispanic,65.2,53.3 to 75.8,127,NY,2014,5566700,626900,1.936337735071505
Influenza,States,New York,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,65,NY,2014,5566700,626900,1.936337735071505
Influenza,States,New York,2021,Age,>=18 Years,57.0,52.4 to 61.6,854,NY,2021,5627400,337100,1.936337735071505
Influenza,States,New York,2021,Age,18-24 Years,46.3,33.7 to 59.2,121,NY,2021,5627400,337100,1.936337735071505
Influenza,States,New York,2021,Age,25-34 Years,56.4,50.5 to 62.1,526,NY,2021,5627400,337100,1.936337735071505
Influenza,States,New York,2021,Age,>=35 Years,66.3,56.6 to 75.0,207,NY,2021,5627400,337100,1.936337735071505
Tdap,States,New York,2021,Age,>=18 Years,74.1,69.8 to 78.1,829,NY,2021,5627400,337100,1.936337735071505
Tdap,States,New York,2021,Age,18-24 Years,61.5,48.2 to 73.6,116,NY,2021,5627400,337100,1.936337735071505
Tdap,States,New York,2021,Age,25-34 Years,75.9,70.5 to 80.7,514,NY,2021,5627400,337100,1.936337735071505
Tdap,States,New York,2021,Age,>=35 Years,77.9,68.8 to 85.4,199,NY,2021,5627400,337100,1.936337735071505
Influenza,States,New York,2021,Race and Ethnicity,"White, Non-Hispanic",57.6,52.1 to 63.0,579,NY,2021,5627400,337100,1.936337735071505
Influenza,States,New York,2021,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,72,NY,2021,5627400,337100,1.936337735071505
Influenza,States,New York,2021,Race and Ethnicity,Hispanic,56.3,43.9 to 68.2,123,NY,2021,5627400,337100,1.936337735071505
Influenza,States,New York,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,77,NY,2021,5627400,337100,1.936337735071505
Tdap,States,New York,2021,Race and Ethnicity,"White, Non-Hispanic",72.4,67.1 to 77.2,568,NY,2021,5627400,337100,1.936337735071505
Tdap,States,New York,2021,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,71,NY,2021,5627400,337100,1.936337735071505
Tdap,States,New York,2021,Race and Ethnicity,Hispanic,78.8,67.8 to 87.4,116,NY,2021,5627400,337100,1.936337735071505
Tdap,States,New York,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",81.2,64.9 to 92.2,71,NY,2021,5627400,337100,1.936337735071505
Influenza,States,New York,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,83,NY,2013,5397700,777200,1.936337735071505
Influenza,States,New York,2013,Race and Ethnicity,Hispanic,52.8,41.1 to 64.2,184,NY,2013,5397700,777200,1.936337735071505
Influenza,States,New York,2015,Age,>=18 Years,57.3,53.1 to 61.5,931,NY,2015,5697200,498900,1.936337735071505
Influenza,States,New York,2015,Age,18-24 Years,51.7,41.7 to 61.6,168,NY,2015,5697200,498900,1.936337735071505
Influenza,States,New York,2015,Age,25-34 Years,57.8,52.4 to 63.1,569,NY,2015,5697200,498900,1.936337735071505
Influenza,States,New York,2015,Age,>=35 Years,62.3,52.6 to 71.3,194,NY,2015,5697200,498900,1.936337735071505
Influenza,States,New York,2013,Age,18-24 Years,45.6,36.6 to 54.8,400,NY,2013,5397700,777200,1.936337735071505
Influenza,States,New York,2013,Age,25-34 Years,55.3,49.4 to 61.1,471,NY,2013,5397700,777200,1.936337735071505
Influenza,States,New York,2013,Age,>=35 Years,63.8,54.3 to 72.6,193,NY,2013,5397700,777200,1.936337735071505
Influenza,States,New York,2013,Race and Ethnicity,"White, Non-Hispanic",56.6,51.4 to 61.7,632,NY,2013,5397700,777200,1.936337735071505
Influenza,States,New York,2013,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,164,NY,2013,5397700,777200,1.936337735071505
Influenza,States,New York,2013,Age,>=18 Years,54.6,50.2 to 58.9,1064,NY,2013,5397700,777200,1.936337735071505
Tdap,States,New York,2018,Race and Ethnicity,"White, Non-Hispanic",75.6,70.1 to 80.5,473,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2019,Race and Ethnicity,"White, Non-Hispanic",77.7,72.8 to 82.1,504,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2019,Age,18-24 Years,77.2,64.8 to 86.9,112,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2018,Age,18-24 Years,77.8,65.5 to 87.3,118,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2015,Age,18-24 Years,46.9,36.1 to 57.9,138,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2014,Age,18-24 Years,40.2,29.7 to 51.4,146,NY,2014,5566700,626900,1.936337735071505
Tdap,States,New York,2013,Age,18-24 Years,32.3,23.7 to 41.9,333,NY,2013,5397700,777200,1.936337735071505
Tdap,States,New York,2017,Age,18-24 Years,80.8,69.3 to 89.4,111,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2016,Age,18-24 Years,70.0,59.8 to 78.9,148,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2019,Age,>=18 Years,78.9,74.6 to 82.7,721,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2017,Age,>=18 Years,75.8,71.6 to 79.7,788,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2018,Age,>=18 Years,75.6,71.0 to 79.8,708,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2015,Age,>=18 Years,52.4,47.9 to 56.9,812,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2014,Age,>=18 Years,43.2,38.7 to 47.8,787,NY,2014,5566700,626900,1.936337735071505
Tdap,States,New York,2016,Age,>=18 Years,70.3,66.3 to 74.1,858,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2013,Age,>=18 Years,27.1,23.2 to 31.3,926,NY,2013,5397700,777200,1.936337735071505
Tdap,States,New York,2015,Age,>=35 Years,50.4,40.1 to 60.6,176,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2016,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,78,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2013,Race and Ethnicity,"Black, Non-Hispanic",19.9,9.2 to 35.1,140,NY,2013,5397700,777200,1.936337735071505
Tdap,States,New York,2014,Race and Ethnicity,"Black, Non-Hispanic",32.7,19.5 to 48.2,86,NY,2014,5566700,626900,1.936337735071505
Tdap,States,New York,2019,Age,>=35 Years,72.9,63.6 to 81.0,178,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2018,Age,>=35 Years,71.2,62.4 to 78.9,196,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2017,Age,>=35 Years,71.9,62.9 to 79.8,206,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2016,Age,>=35 Years,61.4,52.6 to 69.7,220,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2017,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,74,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2018,Race and Ethnicity,"Black, Non-Hispanic",81.1,65.3 to 91.8,90,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2015,Race and Ethnicity,Hispanic,60.8,47.2 to 73.2,101,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2014,Race and Ethnicity,Hispanic,30.3,19.2 to 43.4,105,NY,2014,5566700,626900,1.936337735071505
Tdap,States,New York,2013,Race and Ethnicity,Hispanic,34.7,23.4 to 47.4,156,NY,2013,5397700,777200,1.936337735071505
Tdap,States,New York,2015,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,75,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2019,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,54,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2019,Race and Ethnicity,Hispanic,82.8,69.0 to 92.2,98,NY,2019,5601500,352000,1.936337735071505
Tdap,States,New York,2018,Race and Ethnicity,Hispanic,72.0,57.2 to 84.0,88,NY,2018,5647700,363000,1.936337735071505
Tdap,States,New York,2017,Race and Ethnicity,Hispanic,78.7,65.5 to 88.6,91,NY,2017,5751400,393000,1.936337735071505
Tdap,States,New York,2016,Race and Ethnicity,Hispanic,77.9,67.9 to 86.0,140,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,66,NY,2015,5697200,498900,1.936337735071505
Tdap,States,New York,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,55,NY,2014,5566700,626900,1.936337735071505
Tdap,States,New York,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",66.2,50.7 to 79.5,76,NY,2016,5733100,417300,1.936337735071505
Tdap,States,New York,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,74,NY,2013,5397700,777200,1.936337735071505
Tdap,States,New York,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",88.4,74.3 to 96.3,61,NY,2019,5601500,352000,1.936337735071505
